Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-22,106.72,107.7,106.18,107.27,4457400,0.0,0
2016-02-23,106.77,106.98,105.86,106.17,3439700,0.0,0
2016-02-24,105.49,107.05,103.99,106.49,4122600,0.0,0
2016-02-25,106.89,107.86,104.95,107.86,4358300,0.0,0
2016-02-26,107.86,108.19,105.81,105.88,4386200,0.0,0
2016-02-29,105.85,106.94,104.97,105.07,4428000,0.0,0
2016-03-01,106.04,107.97,105.88,107.75,3788500,0.0,0
2016-03-02,107.21,110.21,106.83,109.3,5217200,0.0,0
2016-03-03,110.04,110.63,109.12,110.5,5156400,0.0,0
2016-03-04,110.29,111.8,109.88,110.5,3968400,0.0,0
2016-03-07,110.09,112.68,109.76,112.39,5171000,0.0,0
2016-03-08,112.03,112.55,110.2,111.52,5579100,0.0,0
2016-03-09,111.71,114.01,111.65,112.6,4406500,0.0,0
2016-03-10,113.26,113.45,110.74,112.42,4020600,0.0,0
2016-03-11,113.65,114.61,112.68,114.16,4421900,0.0,0
2016-03-14,113.88,114.82,113.1,114.5,4048800,0.0,0
2016-03-15,113.66,114.94,113.5,114.64,3707500,0.0,0
2016-03-16,114.37,116.18,113.96,116.11,4221900,0.0,0
2016-03-17,116.1,118.14,115.84,117.91,5821600,0.0,0
2016-03-18,118.2,118.29,116.69,117.95,12089700,0.0,0
2016-03-21,118.12,119.25,117.66,119.19,3721600,0.0,0
2016-03-22,118.73,119.71,118.55,118.76,4081900,0.0,0
2016-03-23,118.68,118.71,116.38,116.6,4764200,0.0,0
2016-03-24,116.26,118.86,115.87,118.64,5044500,0.0,0
2016-03-28,118.48,119.2,118.06,119.0,3265100,0.0,0
2016-03-29,118.35,120.09,118.28,119.75,3138500,0.0,0
2016-03-30,120.25,120.61,118.94,119.01,3331200,0.0,0
2016-03-31,120.12,122.77,119.77,121.45,6780600,0.0,0
2016-04-01,120.69,122.66,120.49,122.31,3925500,0.0,0
2016-04-04,122.16,123.11,121.82,121.95,3931200,0.0,0
2016-04-05,121.43,121.57,120.01,120.29,3337000,0.0,0
2016-04-06,120.21,120.41,118.53,120.3,4194600,0.0,0
2016-04-07,119.54,119.97,118.68,118.88,3663000,0.0,0
2016-04-08,119.53,120.28,118.78,119.76,3293800,0.0,0
2016-04-11,120.49,121.85,119.66,119.68,3846100,0.0,0
2016-04-12,119.97,120.37,119.15,119.99,3595800,0.0,0
2016-04-13,120.89,121.27,119.99,121.27,3168400,0.0,0
2016-04-14,121.49,122.5,120.59,121.22,3176500,0.0,0
2016-04-15,121.12,121.97,121.06,121.67,3657600,0.0,0
2016-04-18,121.67,122.8,121.48,122.31,6581700,0.0,0
2016-04-19,117.46,117.84,114.36,115.47,13190200,0.0,0
2016-04-20,115.67,118.04,115.47,117.17,6754300,0.0,0
2016-04-21,117.54,120.38,117.45,119.72,6017700,0.0,0
2016-04-22,119.84,121.09,118.28,119.08,5191900,0.0,0
2016-04-25,118.81,119.4,117.97,119.33,2848900,0.0,0
2016-04-26,119.2,120.12,118.6,119.55,2979800,0.0,0
2016-04-27,119.76,120.91,119.46,120.66,3111200,0.0,0
2016-04-28,120.09,120.43,117.66,117.94,3791500,0.0,0
2016-04-29,117.47,118.15,115.63,117.03,4225800,0.0,0
2016-05-02,117.53,117.88,115.82,116.49,3502400,0.0,0
2016-05-03,116.0,116.2,114.59,115.58,3584300,0.0,0
2016-05-04,114.96,116.28,114.92,115.67,2577100,0.0,0
2016-05-05,117.04,118.12,116.64,117.46,6501200,0.0,0
2016-05-06,117.29,119.8,116.97,119.25,4895800,1.4,0
2016-05-09,119.58,119.99,119.03,119.29,4302400,0.0,0
2016-05-10,120.02,121.48,119.62,121.42,3992700,0.0,0
2016-05-11,121.21,122.33,120.43,120.6,3093000,0.0,0
2016-05-12,120.81,120.95,119.11,120.51,3249200,0.0,0
2016-05-13,120.47,121.33,119.36,119.6,2398000,0.0,0
2016-05-16,119.54,121.44,119.37,121.01,3069100,0.0,0
2016-05-17,120.81,121.04,119.25,119.83,3490600,0.0,0
2016-05-18,119.82,120.25,118.5,119.29,2491100,0.0,0
2016-05-19,118.6,118.96,116.56,117.34,3685600,0.0,0
2016-05-20,117.97,119.43,117.84,119.22,3671500,0.0,0
2016-05-23,119.51,119.79,118.74,118.83,2103800,0.0,0
2016-05-24,118.92,120.43,118.92,120.08,2929300,0.0,0
2016-05-25,120.58,123.14,120.23,122.81,4355300,0.0,0
2016-05-26,122.7,123.48,122.3,123.42,3062900,0.0,0
2016-05-27,123.35,123.82,123.19,123.75,2457100,0.0,0
2016-05-31,123.52,124.53,123.28,124.47,5836600,0.0,0
2016-06-01,123.88,124.09,122.69,123.48,2663400,0.0,0
2016-06-02,123.54,124.28,123.16,124.28,2642600,0.0,0
2016-06-03,123.39,123.91,122.82,123.79,2328300,0.0,0
2016-06-06,123.95,124.64,123.34,123.66,2378700,0.0,0
2016-06-07,124.13,124.63,123.6,124.14,4465000,0.0,0
2016-06-08,124.3,124.76,123.91,124.69,2935000,0.0,0
2016-06-09,123.81,124.49,123.66,124.22,2021800,0.0,0
2016-06-10,123.71,124.14,122.95,123.37,3120600,0.0,0
2016-06-13,122.77,123.47,121.67,122.48,3610400,0.0,0
2016-06-14,122.48,122.9,121.77,122.3,2865800,0.0,0
2016-06-15,122.63,122.9,121.93,122.0,2260400,0.0,0
2016-06-16,121.6,122.49,120.64,122.3,2449100,0.0,0
2016-06-17,122.22,123.65,121.93,123.06,4663900,0.0,0
2016-06-20,123.55,125.23,123.49,124.37,3572100,0.0,0
2016-06-21,124.81,125.15,124.43,124.73,2760300,0.0,0
2016-06-22,124.48,125.26,123.28,123.81,2833700,0.0,0
2016-06-23,124.24,125.88,123.55,125.78,3969400,0.0,0
2016-06-24,121.42,121.94,118.35,118.69,9082800,0.0,0
2016-06-27,118.35,118.69,115.37,116.18,5017900,0.0,0
2016-06-28,117.22,117.99,116.77,117.97,3997700,0.0,0
2016-06-29,118.61,120.22,118.57,120.2,3367700,0.0,0
2016-06-30,120.52,122.99,120.37,122.89,3967100,0.0,0
2016-07-01,122.89,123.85,122.58,123.35,2658300,0.0,0
2016-07-05,122.41,123.07,122.06,122.81,2465200,0.0,0
2016-07-06,122.94,123.4,121.38,123.37,2569400,0.0,0
2016-07-07,123.67,124.43,122.98,123.55,2138400,0.0,0
2016-07-08,124.69,125.17,123.94,125.06,3040600,0.0,0
2016-07-11,125.17,126.34,125.09,125.76,2833700,0.0,0
2016-07-12,126.3,127.21,125.92,127.15,3843800,0.0,0
2016-07-13,127.72,128.2,127.16,127.94,2746400,0.0,0
2016-07-14,128.58,130.68,128.39,129.77,4637600,0.0,0
2016-07-15,129.46,129.53,128.33,129.36,4476800,0.0,0
2016-07-18,128.98,130.15,128.51,129.43,6729700,0.0,0
2016-07-19,130.98,131.28,127.83,129.2,7120000,0.0,0
2016-07-20,129.52,130.93,129.22,130.64,4376300,0.0,0
2016-07-21,130.15,131.04,129.45,129.91,3518900,0.0,0
2016-07-22,130.17,131.3,129.93,131.22,2520100,0.0,0
2016-07-25,131.16,131.87,130.96,131.69,2804600,0.0,0
2016-07-26,131.69,132.46,130.65,131.26,2894600,0.0,0
2016-07-27,131.26,131.62,130.5,131.02,2162700,0.0,0
2016-07-28,130.66,131.01,130.12,130.65,2340400,0.0,0
2016-07-29,130.64,130.9,129.57,130.05,3547500,0.0,0
2016-08-01,130.07,130.88,129.41,130.72,2823600,0.0,0
2016-08-02,130.57,130.72,129.83,130.01,3080900,0.0,0
2016-08-03,129.65,130.24,129.38,130.09,2861700,0.0,0
2016-08-04,130.24,130.92,129.64,130.8,2489100,0.0,0
2016-08-05,131.16,132.38,130.81,132.38,3812400,0.0,0
2016-08-08,132.89,133.33,131.95,132.33,3039300,1.4,0
2016-08-09,132.47,132.92,132.01,132.11,2737500,0.0,0
2016-08-10,132.45,132.83,132.26,132.36,2466700,0.0,0
2016-08-11,132.5,134.7,132.44,133.54,8768600,0.0,0
2016-08-12,133.27,133.49,131.9,132.25,2543100,0.0,0
2016-08-15,132.62,133.09,132.12,132.2,2970400,0.0,0
2016-08-16,131.57,132.24,131.23,131.23,2210200,0.0,0
2016-08-17,131.45,131.61,130.53,131.02,3225900,0.0,0
2016-08-18,131.39,132.3,131.02,131.77,3652000,0.0,0
2016-08-19,131.35,131.41,130.27,130.69,2815200,0.0,0
2016-08-22,130.66,131.13,129.95,130.66,2039300,0.0,0
2016-08-23,130.93,131.76,130.85,130.87,2838100,0.0,0
2016-08-24,130.57,130.81,129.29,129.89,3645800,0.0,0
2016-08-25,129.85,130.29,129.37,129.54,2575000,0.0,0
2016-08-26,129.75,131.02,128.91,129.29,2498900,0.0,0
2016-08-29,129.71,130.83,129.44,130.43,2475900,0.0,0
2016-08-30,130.47,130.78,129.69,130.17,1813300,0.0,0
2016-08-31,130.38,130.38,129.24,129.75,2323600,0.0,0
2016-09-01,129.29,130.35,129.11,130.29,2358400,0.0,0
2016-09-02,130.56,131.13,129.97,130.29,2315400,0.0,0
2016-09-06,130.56,131.36,129.94,130.95,2994100,0.0,0
2016-09-07,130.82,132.1,130.66,132.0,2867300,0.0,0
2016-09-08,131.11,131.65,129.65,129.85,3963200,0.0,0
2016-09-09,129.05,129.36,127.11,127.14,5186000,0.0,0
2016-09-12,126.79,129.46,126.45,129.27,4367500,0.0,0
2016-09-13,128.73,128.97,126.99,127.24,3636700,0.0,0
2016-09-14,127.15,127.29,125.26,125.8,3860600,0.0,0
