Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-22,47.94,48.6,47.94,48.28,25008300,0.0,0
2016-02-23,47.99,48.02,46.75,46.93,28895300,0.0,0
2016-02-24,46.48,47.22,46.03,47.1,33014500,0.0,0
2016-02-25,47.43,47.77,46.41,47.77,26939500,0.0,0
2016-02-26,48.23,48.31,46.86,47.04,35975900,0.0,0
2016-02-29,47.09,47.36,46.45,46.66,31654000,0.0,0
2016-03-01,46.74,48.22,46.69,48.21,33024500,0.0,0
2016-03-02,48.06,48.56,47.83,48.55,29289900,0.0,0
2016-03-03,48.57,48.57,47.48,48.0,24427800,0.0,0
2016-03-04,48.05,48.1,47.42,47.71,33034200,0.0,0
2016-03-07,47.28,47.5,46.38,46.79,38407800,0.0,0
2016-03-08,46.58,47.8,46.4,47.36,33835100,0.0,0
2016-03-09,47.58,48.46,47.55,48.45,28251600,0.0,0
2016-03-10,48.54,48.54,46.91,47.73,38387800,0.0,0
2016-03-11,48.6,48.66,48.03,48.66,32275700,0.0,0
2016-03-14,48.33,49.14,48.26,48.76,24083600,0.0,0
2016-03-15,48.37,49.14,48.36,49.14,21104800,0.0,0
2016-03-16,49.01,50.07,48.97,49.84,31691700,0.0,0
2016-03-17,49.71,50.43,49.52,50.12,28223900,0.0,0
2016-03-18,50.36,50.41,49.01,49.05,67625500,0.0,0
2016-03-21,48.83,49.45,48.54,49.39,23925700,0.0,0
2016-03-22,49.16,49.75,49.02,49.58,23124100,0.0,0
2016-03-23,49.62,49.74,49.28,49.49,20129000,0.0,0
2016-03-24,49.37,49.82,49.27,49.71,19950000,0.0,0
2016-03-28,49.71,49.78,48.9,49.09,17025100,0.0,0
2016-03-29,49.2,50.31,49.01,50.17,23924300,0.0,0
2016-03-30,50.37,51.02,50.34,50.48,23008300,0.0,0
2016-03-31,50.39,50.97,50.31,50.64,26360500,0.0,0
2016-04-01,50.48,50.99,50.04,50.96,24399200,0.0,0
2016-04-04,50.83,51.04,50.43,50.83,18928800,0.0,0
2016-04-05,50.61,50.71,49.94,50.03,19272300,0.0,0
2016-04-06,49.85,50.62,49.71,50.54,21188700,0.0,0
2016-04-07,50.31,50.35,49.73,49.94,19225100,0.0,0
2016-04-08,50.13,50.69,49.81,49.9,22167200,0.0,0
2016-04-11,49.97,50.57,49.79,49.8,21414200,0.0,0
2016-04-12,49.86,50.23,49.3,50.11,24944300,0.0,0
2016-04-13,50.54,50.84,50.33,50.75,20818000,0.0,0
2016-04-14,50.64,50.97,50.5,50.76,20877100,0.0,0
2016-04-15,50.71,51.28,50.53,51.03,28793800,0.0,0
2016-04-18,50.88,51.89,50.63,51.77,23786000,0.0,0
2016-04-19,51.93,52.06,51.06,51.71,29596800,0.0,0
2016-04-20,51.62,51.81,50.88,50.97,36195700,0.0,0
2016-04-21,51.17,51.56,50.82,51.15,38909100,0.0,0
2016-04-22,47.6,48.08,46.55,47.48,126834100,0.0,0
2016-04-25,47.48,47.8,47.34,47.78,33226900,0.0,0
2016-04-26,47.92,48.0,46.85,47.17,33532600,0.0,0
2016-04-27,47.21,47.22,46.35,46.71,43369300,0.0,0
2016-04-28,46.42,46.55,45.45,45.76,43134800,0.0,0
2016-04-29,45.25,46.08,45.25,45.73,48411700,0.0,0
2016-05-02,45.85,46.54,45.65,46.41,33114500,0.0,0
2016-05-03,46.16,46.22,45.48,45.65,26460200,0.0,0
2016-05-04,45.7,45.9,45.35,45.73,24257600,0.0,0
2016-05-05,45.73,46.12,45.6,45.79,25390700,0.0,0
2016-05-06,45.78,46.21,45.54,46.21,24787300,0.0,0
2016-05-09,46.3,46.39,45.85,45.91,17951600,0.0,0
2016-05-10,46.15,46.86,46.02,46.78,22891000,0.0,0
2016-05-11,46.88,47.48,46.77,46.81,24039100,0.0,0
2016-05-12,46.95,47.51,46.69,47.23,24102800,0.0,0
2016-05-13,47.17,47.59,46.8,46.84,22592300,0.0,0
2016-05-16,46.58,47.65,46.54,47.53,20032000,0.0,0
2016-05-17,47.76,47.77,46.5,46.64,27803500,0.36,0
2016-05-18,46.61,47.22,46.45,46.92,24907500,0.0,0
2016-05-19,46.6,46.74,46.0,46.46,23842400,0.0,0
2016-05-20,46.61,47.3,46.54,46.74,23905800,0.0,0
2016-05-23,46.72,46.8,46.15,46.2,26118700,0.0,0
2016-05-24,46.82,47.75,46.54,47.64,34757900,0.0,0
2016-05-25,47.94,48.47,47.82,48.13,24040200,0.0,0
2016-05-26,47.95,48.0,47.43,47.91,24335200,0.0,0
2016-05-27,47.94,48.31,47.8,48.31,17721400,0.0,0
2016-05-31,48.26,48.94,48.09,48.94,37653100,0.0,0
2016-06-01,48.42,48.89,48.42,48.8,25324800,0.0,0
2016-06-02,48.61,48.7,47.87,48.46,22840800,0.0,0
2016-06-03,48.37,48.4,47.65,47.82,23368300,0.0,0
2016-06-06,48.01,48.34,47.91,48.14,18243300,0.0,0
2016-06-07,48.24,48.69,48.11,48.11,20866800,0.0,0
2016-06-08,48.03,48.42,47.9,48.05,21149400,0.0,0
2016-06-09,48.02,48.02,47.55,47.67,20305700,0.0,0
2016-06-10,47.14,48.06,47.13,47.54,25833200,0.0,0
2016-06-13,45.78,46.83,45.3,46.3,83217800,0.0,0
2016-06-14,46.08,46.26,45.77,46.01,42577100,0.0,0
2016-06-15,45.97,46.28,45.88,45.88,33757600,0.0,0
2016-06-16,45.73,46.6,45.72,46.53,31188600,0.0,0
2016-06-17,46.55,46.57,46.0,46.29,45710500,0.0,0
2016-06-20,46.76,46.94,46.2,46.23,35607900,0.0,0
2016-06-21,46.35,47.49,46.32,47.27,34097800,0.0,0
2016-06-22,47.17,47.52,47.05,47.08,28816800,0.0,0
2016-06-23,47.35,48.07,47.23,47.93,29028800,0.0,0
2016-06-24,45.99,47.04,45.73,46.01,133503000,0.0,0
2016-06-27,45.34,45.38,44.36,44.72,50216300,0.0,0
2016-06-28,45.17,45.68,44.94,45.65,38140700,0.0,0
2016-06-29,46.09,46.83,45.98,46.67,31304000,0.0,0
2016-06-30,46.83,47.37,46.63,47.25,28527800,0.0,0
2016-07-01,47.21,47.76,47.16,47.24,21400400,0.0,0
2016-07-05,46.94,47.35,46.85,47.25,24806400,0.0,0
2016-07-06,46.89,47.59,46.53,47.44,28167500,0.0,0
2016-07-07,47.48,47.66,47.16,47.44,19585200,0.0,0
2016-07-08,47.77,48.35,47.6,48.29,28391000,0.0,0
2016-07-11,48.48,48.78,48.45,48.56,22269200,0.0,0
2016-07-12,48.88,49.31,48.75,49.13,27317600,0.0,0
2016-07-13,49.46,49.73,49.11,49.41,25356800,0.0,0
2016-07-14,49.72,49.85,49.47,49.62,24545500,0.0,0
2016-07-15,49.82,49.86,49.13,49.59,32024400,0.0,0
2016-07-18,49.59,50.18,49.45,49.83,31433900,0.0,0
2016-07-19,49.6,49.77,48.87,49.02,53336500,0.0,0
2016-07-20,51.85,52.49,51.28,51.63,89893300,0.0,0
2016-07-21,51.69,51.92,51.49,51.52,32776700,0.0,0
2016-07-22,51.78,52.29,51.51,52.24,32157200,0.0,0
2016-07-25,52.14,52.39,51.95,52.38,25610600,0.0,0
2016-07-26,52.19,52.9,52.18,52.41,28079000,0.0,0
2016-07-27,52.27,52.45,51.81,51.89,32327500,0.0,0
2016-07-28,51.71,52.05,51.45,51.9,37550400,0.0,0
2016-07-29,51.95,52.41,51.76,52.34,30558700,0.0,0
2016-08-01,52.26,52.4,51.84,52.25,26003400,0.0,0
2016-08-02,52.49,52.54,52.0,52.25,35122000,0.0,0
2016-08-03,52.34,52.73,52.16,52.61,22075600,0.0,0
2016-08-04,52.45,53.11,52.33,52.99,26587700,0.0,0
2016-08-05,53.23,53.75,53.05,53.52,29335200,0.0,0
2016-08-08,53.61,53.64,53.35,53.61,19473500,0.0,0
2016-08-09,53.71,54.02,53.57,53.74,16920700,0.0,0
2016-08-10,53.7,53.85,53.39,53.57,15756900,0.0,0
2016-08-11,53.58,53.97,53.58,53.83,18162300,0.0,0
2016-08-12,53.58,53.73,53.21,53.5,21655200,0.0,0
2016-08-15,53.57,54.02,53.52,53.67,19283900,0.0,0
2016-08-16,53.53,53.54,53.21,53.37,20523500,0.36,0
2016-08-17,53.46,53.59,53.17,53.48,18856400,0.0,0
2016-08-18,53.35,53.61,53.21,53.52,14214300,0.0,0
2016-08-19,53.36,53.64,53.15,53.54,17271000,0.0,0
2016-08-22,53.52,53.66,53.2,53.58,15221900,0.0,0
2016-08-23,53.8,54.06,53.75,53.79,18732400,0.0,0
2016-08-24,53.7,53.93,53.63,53.84,18151500,0.0,0
2016-08-25,53.78,54.16,53.69,54.05,18552600,0.0,0
2016-08-26,54.15,54.54,53.6,53.92,20971200,0.0,0
2016-08-29,54.06,54.45,53.98,53.98,16417200,0.0,0
2016-08-30,53.87,54.07,53.53,53.79,16930200,0.0,0
2016-08-31,53.56,53.7,53.24,53.39,20860300,0.0,0
2016-09-01,52.97,53.72,52.97,53.51,26075400,0.0,0
2016-09-02,53.58,54.07,53.35,53.58,18900500,0.0,0
2016-09-06,53.69,53.7,53.16,53.53,16278400,0.0,0
2016-09-07,53.4,53.74,53.34,53.57,17493400,0.0,0
2016-09-08,53.55,53.7,53.13,53.36,20146100,0.0,0
2016-09-09,52.77,53.44,52.23,52.23,35113900,0.0,0
2016-09-12,52.03,53.16,51.67,53.01,29303000,0.0,0
2016-09-13,52.5,52.64,52.08,52.52,30130200,0.0,0
2016-09-14,52.39,52.62,52.06,52.27,24062500,0.0,0
2016-09-15,52.17,53.29,52.01,53.14,26847000,0.0,0
2016-09-16,53.55,53.55,52.73,53.19,44607000,0.0,0
2016-09-19,53.21,53.66,52.82,52.9,20937100,0.0,0
2016-09-20,53.29,53.29,52.73,52.78,17384000,0.0,0
2016-09-21,53.43,53.75,53.04,53.67,33707300,0.0,0
2016-09-22,53.82,53.89,53.55,53.72,19822200,0.0,0
2016-09-23,53.77,53.81,53.31,53.36,19955300,0.0,0
2016-09-26,53.04,53.09,52.8,52.87,21688700,0.0,0
2016-09-27,52.9,53.95,52.66,53.84,28065100,0.0,0
2016-09-28,53.78,53.95,53.58,53.92,20536400,0.0,0
2016-09-29,53.71,54.05,53.16,53.33,25463500,0.0,0
2016-09-30,53.49,53.68,53.28,53.52,29910800,0.0,0
2016-10-03,53.34,53.47,53.02,53.35,19189500,0.0,0
2016-10-04,53.21,53.52,52.93,53.18,20085900,0.0,0
2016-10-05,53.23,53.85,53.2,53.56,16726400,0.0,0
2016-10-06,53.65,53.76,53.22,53.65,16212600,0.0,0
2016-10-07,53.75,53.87,53.35,53.7,20089000,0.0,0
2016-10-10,53.81,54.25,53.77,53.93,18196500,0.0,0
2016-10-11,53.79,53.91,52.86,53.14,26497400,0.0,0
2016-10-12,53.06,53.21,52.4,53.06,22177500,0.0,0
2016-10-13,52.68,53.24,52.33,52.89,25313700,0.0,0
2016-10-14,53.07,53.65,53.07,53.35,27402500,0.0,0
2016-10-17,53.3,53.39,52.84,53.17,23830000,0.0,0
2016-10-18,53.45,53.84,53.34,53.57,19149500,0.0,0
2016-10-19,53.4,53.74,53.33,53.45,22878400,0.0,0
2016-10-20,53.43,53.44,52.65,53.19,49455600,0.0,0
2016-10-21,56.01,56.17,55.27,55.43,80032200,0.0,0
2016-10-24,55.69,56.68,55.68,56.68,54067000,0.0,0
2016-10-25,56.54,57.02,56.49,56.67,35137200,0.0,0
2016-10-26,56.5,56.86,56.19,56.33,29911600,0.0,0
2016-10-27,56.32,56.52,55.83,55.84,28479900,0.0,0
2016-10-28,55.76,56.23,55.36,55.63,33574700,0.0,0
2016-10-31,55.9,56.14,55.67,55.67,26434700,0.0,0
2016-11-01,55.72,55.77,55.05,55.56,24533000,0.0,0
2016-11-02,55.58,55.68,55.1,55.22,22147000,0.0,0
2016-11-03,55.31,55.41,54.92,55.01,21600400,0.0,0
2016-11-04,54.49,55.08,54.37,54.55,28697000,0.0,0
2016-11-07,55.54,56.23,55.54,56.14,31664800,0.0,0
2016-11-08,56.26,56.47,55.89,56.19,22935400,0.0,0
2016-11-09,55.75,56.3,55.01,55.91,49632500,0.0,0
2016-11-10,56.19,56.2,53.55,54.54,57822400,0.0,0
2016-11-11,54.1,54.93,53.9,54.84,38767800,0.0,0
2016-11-14,54.84,54.89,53.22,54.0,41328400,0.0,0
2016-11-15,54.56,55.65,54.55,55.07,35904100,0.39,0
2016-11-16,55.13,55.81,55.01,55.8,27332500,0.0,0
