Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-22,42.08,43.1,42.07,43.09,16793600,0.0,0
2016-02-23,42.85,42.85,42.11,42.37,9358700,0.0,0
2016-02-24,42.01,43.41,41.79,43.29,10966600,0.0,0
2016-02-25,43.27,43.52,42.77,43.39,8352400,0.0,0
2016-02-26,43.69,43.69,43.04,43.37,9528400,0.0,0
2016-02-29,43.4,43.71,43.01,43.08,12127300,0.48,0
2016-03-01,43.32,44.2,43.31,44.2,11977400,0.0,0
2016-03-02,44.43,44.94,44.31,44.82,15664800,0.0,0
2016-03-03,44.49,44.79,43.99,44.43,12365200,0.0,0
2016-03-04,44.38,44.87,44.02,44.66,12770300,0.0,0
2016-03-07,44.48,45.39,44.41,45.21,10171500,0.0,0
2016-03-08,44.86,45.13,44.09,44.49,11684300,0.0,0
2016-03-09,44.45,44.54,43.88,44.06,13964500,0.0,0
2016-03-10,44.03,44.42,43.4,44.12,9539100,0.0,0
2016-03-11,44.6,44.65,44.01,44.29,11404300,0.0,0
2016-03-14,44.31,44.45,43.88,44.18,7407200,0.0,0
2016-03-15,43.89,43.96,43.24,43.79,12887600,0.0,0
2016-03-16,43.79,43.79,43.18,43.51,21052300,0.0,0
2016-03-17,43.38,43.84,43.36,43.58,10190400,0.0,0
2016-03-18,43.84,43.99,43.45,43.76,28991500,0.0,0
2016-03-21,43.76,44.4,43.69,44.28,11796500,0.0,0
2016-03-22,43.97,44.38,43.93,44.12,6623200,0.0,0
2016-03-23,44.21,44.24,43.09,43.25,9194600,0.0,0
2016-03-24,42.94,43.17,42.52,43.14,7527300,0.0,0
2016-03-28,42.77,42.92,42.37,42.57,9065200,0.0,0
2016-03-29,42.41,43.2,42.13,42.99,10462600,0.0,0
2016-03-30,43.4,43.81,43.03,43.25,7142800,0.0,0
2016-03-31,43.15,43.62,43.11,43.37,7315800,0.0,0
2016-04-01,43.32,43.35,42.42,43.15,9379800,0.0,0
2016-04-04,43.09,43.35,42.84,42.96,6289600,0.0,0
2016-04-05,42.78,42.86,42.41,42.47,6863300,0.0,0
2016-04-06,42.53,43.03,42.18,42.93,7631600,0.0,0
2016-04-07,42.75,42.79,42.21,42.43,7532200,0.0,0
2016-04-08,42.72,43.38,42.62,42.88,5584800,0.0,0
2016-04-11,43.14,43.75,43.14,43.26,8637200,0.0,0
2016-04-12,43.3,43.34,42.58,43.1,6116900,0.0,0
2016-04-13,43.51,44.48,43.38,44.04,13813500,0.0,0
2016-04-14,43.98,44.01,43.46,43.95,7921400,0.0,0
2016-04-15,44.04,44.1,43.28,43.31,10143300,0.0,0
2016-04-18,43.33,43.87,43.2,43.72,7673100,0.0,0
2016-04-19,43.87,44.04,43.51,43.96,9306400,0.0,0
2016-04-20,44.04,44.56,43.94,44.18,11216900,0.0,0
2016-04-21,43.51,43.93,43.04,43.82,16728600,0.0,0
2016-04-22,43.86,45.03,43.83,44.65,14029800,0.0,0
2016-04-25,44.61,44.71,44.13,44.47,6941200,0.0,0
2016-04-26,44.56,44.92,44.49,44.88,7600100,0.0,0
2016-04-27,44.13,45.06,44.11,44.87,8256600,0.0,0
